Scarab gitrev: 3541854
Scarab started at Fri Nov  1 15:14:20 2024

Initialized Ramulator. 
** Heartbeat:   5% -- { 1000004 } -- 0.00 KIPS (21.28 KIPS)
** Heartbeat:  10% -- { 2000007 } -- 21.74 KIPS (21.51 KIPS)
** Heartbeat:  15% -- { 3000010 } -- 26.32 KIPS (22.90 KIPS)
** Heartbeat:  20% -- { 4000011 } -- 33.33 KIPS (24.84 KIPS)
** Heartbeat:  25% -- { 5000011 } -- 20.00 KIPS (23.70 KIPS)
** Heartbeat:  30% -- { 6000011 } -- 21.28 KIPS (23.26 KIPS)
** Heartbeat:  35% -- { 7000011 } -- 25.00 KIPS (23.49 KIPS)
** Heartbeat:  40% -- { 8000014 } -- 28.57 KIPS (24.02 KIPS)
** Heartbeat:  45% -- { 9000015 } -- 33.33 KIPS (24.79 KIPS)
** Heartbeat:  50% -- { 10000015 } -- 22.73 KIPS (24.57 KIPS)
** Heartbeat:  55% -- { 11000020 } -- 18.18 KIPS (23.81 KIPS)
** Heartbeat:  60% -- { 12000022 } -- 24.39 KIPS (23.86 KIPS)
** Heartbeat:  65% -- { 13000022 } -- 28.57 KIPS (24.16 KIPS)
** Heartbeat:  70% -- { 14000024 } -- 35.71 KIPS (24.74 KIPS)
** Heartbeat:  75% -- { 15000029 } -- 27.78 KIPS (24.92 KIPS)
** Heartbeat:  80% -- { 16000031 } -- 16.95 KIPS (24.21 KIPS)
** Heartbeat:  85% -- { 17000031 } -- 25.64 KIPS (24.29 KIPS)
** Heartbeat:  90% -- { 18000034 } -- 27.03 KIPS (24.42 KIPS)
** Heartbeat:  95% -- { 19000037 } -- 38.46 KIPS (24.90 KIPS)
** Core 0 Finished:    insts:20000000    cycles:14640581    time:4575181562500       -- 1.37 IPC (1.37 IPC) --  N/A  KIPS (24.97 KIPS)
Scarab finished at Fri Nov  1 15:27:41 2024

